"text","entities"
"Dear Mr. James Wilson, your appointment at Springfield Clinic is confirmed for 04/12/2025. Please bring your insurance card (ID: INS-77234) and a photo ID. For questions, call 312-555-0198 or email james.wilson@outlook.com.","[{""text"": ""James Wilson"", ""entity_type"": ""PERSON"", ""start"": 9, ""end"": 21, ""score"": 1.0}, {""text"": ""04/12/2025"", ""entity_type"": ""DATE"", ""start"": 79, ""end"": 89, ""score"": 1.0}, {""text"": ""INS-77234"", ""entity_type"": ""ID"", ""start"": 129, ""end"": 138, ""score"": 1.0}, {""text"": ""312-555-0198"", ""entity_type"": ""PHONE_NUMBER"", ""start"": 176, ""end"": 188, ""score"": 1.0}, {""text"": ""james.wilson@outlook.com"", ""entity_type"": ""EMAIL_ADDRESS"", ""start"": 198, ""end"": 222, ""score"": 1.0}]"
"The account holder, Maria Garcia (DOB: 11/23/1990), reported unauthorized charges on her Visa card ending in 4829. Her address on file is 742 Elm Street, Austin, TX 78701. Case reference: CR-2025-08813.","[{""text"": ""Maria Garcia"", ""entity_type"": ""PERSON"", ""start"": 20, ""end"": 32, ""score"": 1.0}, {""text"": ""11/23/1990"", ""entity_type"": ""DATE_OF_BIRTH"", ""start"": 39, ""end"": 49, ""score"": 1.0}, {""text"": ""4829"", ""entity_type"": ""CREDIT_CARD"", ""start"": 109, ""end"": 113, ""score"": 1.0}, {""text"": ""742 Elm Street, Austin, TX 78701"", ""entity_type"": ""ADDRESS"", ""start"": 138, ""end"": 170, ""score"": 1.0}]"
"Hi, this is a message for David Chen at extension 4021. Your lab results from Quest Diagnostics (order #QD-998471) are ready. Please contact Dr. Patel at 617-555-0342 to discuss. Your patient ID is PT-228109.","[{""text"": ""David Chen"", ""entity_type"": ""PERSON"", ""start"": 26, ""end"": 36, ""score"": 1.0}, {""text"": ""QD-998471"", ""entity_type"": ""ID"", ""start"": 104, ""end"": 113, ""score"": 1.0}, {""text"": ""Dr. Patel"", ""entity_type"": ""PERSON"", ""start"": 141, ""end"": 150, ""score"": 1.0}, {""text"": ""617-555-0342"", ""entity_type"": ""PHONE_NUMBER"", ""start"": 154, ""end"": 166, ""score"": 1.0}, {""text"": ""PT-228109"", ""entity_type"": ""ID"", ""start"": 198, ""end"": 207, ""score"": 1.0}]"
"Employee review for Sarah O'Brien (Employee #EMP-30042). Performance rating: Exceeds Expectations. Current salary: $94,500. Manager: Tom Richards. Next review date: 09/15/2025.","[{""text"": ""Sarah O'Brien"", ""entity_type"": ""PERSON"", ""start"": 20, ""end"": 33, ""score"": 1.0}, {""text"": ""EMP-30042"", ""entity_type"": ""ID"", ""start"": 45, ""end"": 54, ""score"": 1.0}, {""text"": ""$94,500"", ""entity_type"": ""FINANCIAL"", ""start"": 115, ""end"": 122, ""score"": 1.0}, {""text"": ""Tom Richards"", ""entity_type"": ""PERSON"", ""start"": 133, ""end"": 145, ""score"": 1.0}, {""text"": ""09/15/2025"", ""entity_type"": ""DATE"", ""start"": 165, ""end"": 175, ""score"": 1.0}]"
"Tenant lease agreement: Robert Kim, SSN 531-72-8846, is approved for unit 4B at 1500 Oak Avenue, Portland, OR 97205. Monthly rent: $1,850. Lease start: 03/01/2025. Emergency contact: Linda Kim, 503-555-0147.","[{""text"": ""Robert Kim"", ""entity_type"": ""PERSON"", ""start"": 24, ""end"": 34, ""score"": 1.0}, {""text"": ""531-72-8846"", ""entity_type"": ""US_SSN"", ""start"": 40, ""end"": 51, ""score"": 1.0}, {""text"": ""1500 Oak Avenue, Portland, OR 97205"", ""entity_type"": ""ADDRESS"", ""start"": 80, ""end"": 115, ""score"": 1.0}, {""text"": ""$1,850"", ""entity_type"": ""FINANCIAL"", ""start"": 131, ""end"": 137, ""score"": 1.0}, {""text"": ""Linda Kim"", ""entity_type"": ""PERSON"", ""start"": 183, ""end"": 192, ""score"": 1.0}, {""text"": ""503-555-0147"", ""entity_type"": ""PHONE_NUMBER"", ""start"": 194, ""end"": 206, ""score"": 1.0}]"
"Shipping confirmation for order #ORD-44218. Recipient: Aisha Patel, 2300 Birch Lane, Denver, CO 80202. Tracking number: 1Z999AA10123456784. Delivery expected by 02/28/2025. Contact: aisha.p@gmail.com.","[{""text"": ""Aisha Patel"", ""entity_type"": ""PERSON"", ""start"": 55, ""end"": 66, ""score"": 1.0}, {""text"": ""2300 Birch Lane, Denver, CO 80202"", ""entity_type"": ""ADDRESS"", ""start"": 68, ""end"": 101, ""score"": 1.0}, {""text"": ""1Z999AA10123456784"", ""entity_type"": ""ID"", ""start"": 120, ""end"": 138, ""score"": 1.0}, {""text"": ""02/28/2025"", ""entity_type"": ""DATE"", ""start"": 161, ""end"": 171, ""score"": 1.0}, {""text"": ""aisha.p@gmail.com"", ""entity_type"": ""EMAIL_ADDRESS"", ""start"": 182, ""end"": 199, ""score"": 1.0}]"
"Insurance claim filed by John Martinez (Policy #POL-55931-CA). Incident date: 01/15/2025. Vehicle: 2022 Honda Civic, VIN 1HGBH41JXMN109186. Damage estimate: $4,200. Adjuster assigned: Karen White, karen.white@insco.com.","[{""text"": ""John Martinez"", ""entity_type"": ""PERSON"", ""start"": 25, ""end"": 38, ""score"": 1.0}, {""text"": ""POL-55931-CA"", ""entity_type"": ""ID"", ""start"": 48, ""end"": 60, ""score"": 1.0}, {""text"": ""01/15/2025"", ""entity_type"": ""DATE"", ""start"": 78, ""end"": 88, ""score"": 1.0}, {""text"": ""1HGBH41JXMN109186"", ""entity_type"": ""ID"", ""start"": 121, ""end"": 138, ""score"": 1.0}, {""text"": ""$4,200"", ""entity_type"": ""FINANCIAL"", ""start"": 157, ""end"": 163, ""score"": 1.0}, {""text"": ""Karen White"", ""entity_type"": ""PERSON"", ""start"": 184, ""end"": 195, ""score"": 1.0}, {""text"": ""karen.white@insco.com"", ""entity_type"": ""EMAIL_ADDRESS"", ""start"": 197, ""end"": 218, ""score"": 1.0}]"
"Meeting notes: Discussed project timeline with Emily Zhao (emily.zhao@techcorp.io). Budget approved: $250,000. Next milestone due 06/30/2025. Stakeholder contact: VP of Engineering, ext. 7784, building 3A.","[{""text"": ""Emily Zhao"", ""entity_type"": ""PERSON"", ""start"": 47, ""end"": 57, ""score"": 1.0}, {""text"": ""emily.zhao@techcorp.io"", ""entity_type"": ""EMAIL_ADDRESS"", ""start"": 59, ""end"": 81, ""score"": 1.0}, {""text"": ""$250,000"", ""entity_type"": ""FINANCIAL"", ""start"": 101, ""end"": 109, ""score"": 1.0}, {""text"": ""06/30/2025"", ""entity_type"": ""DATE"", ""start"": 130, ""end"": 140, ""score"": 1.0}]"
"Support ticket #TK-81923: Customer Peter Novak (peter.novak@yahoo.de) reports login issues. Account created 08/10/2022. Last known IP: 84.175.22.61. Browser: Chrome 120. Phone on file: +49-170-555-8821.","[{""text"": ""Peter Novak"", ""entity_type"": ""PERSON"", ""start"": 35, ""end"": 46, ""score"": 1.0}, {""text"": ""peter.novak@yahoo.de"", ""entity_type"": ""EMAIL_ADDRESS"", ""start"": 48, ""end"": 68, ""score"": 1.0}, {""text"": ""08/10/2022"", ""entity_type"": ""DATE"", ""start"": 108, ""end"": 118, ""score"": 1.0}, {""text"": ""84.175.22.61"", ""entity_type"": ""IP_ADDRESS"", ""start"": 135, ""end"": 147, ""score"": 1.0}, {""text"": ""+49-170-555-8821"", ""entity_type"": ""PHONE_NUMBER"", ""start"": 185, ""end"": 201, ""score"": 1.0}]"
"Discharge summary for patient Lisa Thompson (MRN: MR-667210). Admitted: 12/20/2024, discharged: 12/27/2024. Primary diagnosis: pneumonia. Attending physician: Dr. Angela Morrison. Follow-up with pulmonology at 555-0299. Pharmacy: CVS #4481.","[{""text"": ""Lisa Thompson"", ""entity_type"": ""PERSON"", ""start"": 30, ""end"": 43, ""score"": 1.0}, {""text"": ""MR-667210"", ""entity_type"": ""ID"", ""start"": 50, ""end"": 59, ""score"": 1.0}, {""text"": ""12/20/2024"", ""entity_type"": ""DATE"", ""start"": 72, ""end"": 82, ""score"": 1.0}, {""text"": ""12/27/2024"", ""entity_type"": ""DATE"", ""start"": 96, ""end"": 106, ""score"": 1.0}, {""text"": ""Dr. Angela Morrison"", ""entity_type"": ""PERSON"", ""start"": 159, ""end"": 178, ""score"": 1.0}, {""text"": ""555-0299"", ""entity_type"": ""PHONE_NUMBER"", ""start"": 210, ""end"": 218, ""score"": 1.0}]"
