text,entities
Patient John Smith was admitted on 03/15/2025 with diagnosis code A09.,"[{""text"": ""John Smith"", ""entity_type"": ""PERSON"", ""start"": 8, ""end"": 18, ""score"": 1.0}, {""text"": ""03/15/2025"", ""entity_type"": ""DATE_TIME"", ""start"": 35, ""end"": 45, ""score"": 1.0}]"
Contact Dr. Emily Chen at emily.chen@hospital.org or call 555-987-6543.,"[{""text"": ""Emily Chen"", ""entity_type"": ""PERSON"", ""start"": 12, ""end"": 22, ""score"": 1.0}, {""text"": ""emily.chen@hospital.org"", ""entity_type"": ""EMAIL_ADDRESS"", ""start"": 26, ""end"": 49, ""score"": 1.0}, {""text"": ""555-987-6543"", ""entity_type"": ""PHONE_NUMBER"", ""start"": 58, ""end"": 70, ""score"": 1.0}]"
"SSN 123-45-6789 belongs to Maria Garcia, born on January 12, 1990.","[{""text"": ""123-45-6789"", ""entity_type"": ""US_SSN"", ""start"": 4, ""end"": 15, ""score"": 1.0}, {""text"": ""Maria Garcia"", ""entity_type"": ""PERSON"", ""start"": 27, ""end"": 39, ""score"": 1.0}, {""text"": ""January 12, 1990"", ""entity_type"": ""DATE_TIME"", ""start"": 49, ""end"": 65, ""score"": 1.0}]"
"The patient resides at 742 Evergreen Terrace, Springfield, IL 62704.","[{""text"": ""742 Evergreen Terrace, Springfield, IL 62704"", ""entity_type"": ""LOCATION"", ""start"": 23, ""end"": 67, ""score"": 1.0}]"
Credit card number 4111-1111-1111-1111 was used by Robert Johnson on 12/01/2024.,"[{""text"": ""4111-1111-1111-1111"", ""entity_type"": ""CREDIT_CARD"", ""start"": 19, ""end"": 38, ""score"": 1.0}, {""text"": ""Robert Johnson"", ""entity_type"": ""PERSON"", ""start"": 51, ""end"": 65, ""score"": 1.0}, {""text"": ""12/01/2024"", ""entity_type"": ""DATE_TIME"", ""start"": 69, ""end"": 79, ""score"": 1.0}]"
"Please send records to Sarah Williams at 1600 Pennsylvania Ave, Washington DC 20500.","[{""text"": ""Sarah Williams"", ""entity_type"": ""PERSON"", ""start"": 23, ""end"": 37, ""score"": 1.0}, {""text"": ""1600 Pennsylvania Ave, Washington DC 20500"", ""entity_type"": ""LOCATION"", ""start"": 41, ""end"": 83, ""score"": 1.0}]"
"Driver's license D1234567 issued to James Brown, DOB 07/04/1985.","[{""text"": ""D1234567"", ""entity_type"": ""US_DRIVER_LICENSE"", ""start"": 17, ""end"": 25, ""score"": 1.0}, {""text"": ""James Brown"", ""entity_type"": ""PERSON"", ""start"": 36, ""end"": 47, ""score"": 1.0}, {""text"": ""07/04/1985"", ""entity_type"": ""DATE_TIME"", ""start"": 53, ""end"": 63, ""score"": 1.0}]"
"Insurance ID BC-9876543 for patient Lisa Anderson, phone 202-555-0147.","[{""text"": ""BC-9876543"", ""entity_type"": ""MEDICAL_LICENSE"", ""start"": 13, ""end"": 23, ""score"": 1.0}, {""text"": ""Lisa Anderson"", ""entity_type"": ""PERSON"", ""start"": 36, ""end"": 49, ""score"": 1.0}, {""text"": ""202-555-0147"", ""entity_type"": ""PHONE_NUMBER"", ""start"": 57, ""end"": 69, ""score"": 1.0}]"
Lab results for Michael Davis (MRN 00112233) were sent to m.davis@gmail.com.,"[{""text"": ""Michael Davis"", ""entity_type"": ""PERSON"", ""start"": 16, ""end"": 29, ""score"": 1.0}, {""text"": ""00112233"", ""entity_type"": ""US_BANK_NUMBER"", ""start"": 35, ""end"": 43, ""score"": 1.0}, {""text"": ""m.davis@gmail.com"", ""entity_type"": ""EMAIL_ADDRESS"", ""start"": 58, ""end"": 75, ""score"": 1.0}]"
"Nurse Jennifer Lee noted blood pressure 140/90 for patient at 55 Oak Street, Boston MA 02108.","[{""text"": ""Jennifer Lee"", ""entity_type"": ""PERSON"", ""start"": 6, ""end"": 18, ""score"": 1.0}, {""text"": ""55 Oak Street, Boston MA 02108"", ""entity_type"": ""LOCATION"", ""start"": 62, ""end"": 92, ""score"": 1.0}]"
